,file_name,measure_name,time_slice_start,time_slice_end,agg_type,measure_value,5.4.1
79,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,240,st dev,0.6729016309739898,
80,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,240,max,170.007461547852,pass
81,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,240,mean,167.6533468825307,
82,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,240,min,164.907806396484,
83,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,240,st dev,1.0176009560024926,
84,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,240,max,135.595291137695,pass
85,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,240,mean,135.09260824782345,
86,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,240,min,134.592086791992,
87,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,240,st dev,0.18725716509269216,
88,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_5,40,240,max,145.657028198242,pass
89,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_5,40,240,mean,145.04989320365948,
90,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_5,40,240,min,144.482406616211,
91,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_5,40,240,st dev,0.30000899079914256,
92,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,SpdEngine,40,240,max,2002.75,
93,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,SpdEngine,40,240,mean,1995.8942786069651,
94,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,SpdEngine,40,240,min,1987.0,
95,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,SpdEngine,40,240,st dev,4.91340814526842,
96,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,240,max,1877.0,
97,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,240,mean,1865.6169154228855,
98,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,240,min,1850.0,
99,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,240,st dev,8.176644326238666,
100,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25.csv,AcceleratedDOCInletTemperature,40,240,max,457.64685,
101,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25.csv,AcceleratedDOCInletTemperature,40,240,mean,456.68566358208955,
102,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25.csv,AcceleratedDOCInletTemperature,40,240,min,455.23166,
103,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25.csv,AcceleratedDOCInletTemperature,40,240,st dev,0.5772863226269134,
104,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,240,max,100.0,
105,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,240,mean,100.0,
106,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,240,min,100.0,
107,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,240,st dev,0.0,
108,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_ExThCondt,40,240,max,146.565322875977,
109,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_ExThCondt,40,240,mean,146.22930391985386,
110,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_ExThCondt,40,240,min,145.943878173828,
111,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_ExThCondt,40,240,st dev,0.11686827084085014,
112,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_13,40,240,max,225.068176269531,fail
113,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_13,40,240,mean,223.07574045361574,
114,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_13,40,240,min,221.466583251953,
115,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_13,40,240,st dev,0.7515785874528785,
116,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_18,40,240,max,199.220291137695,pass
117,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_18,40,240,mean,196.83712449714324,
118,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_18,40,240,min,194.519973754883,
119,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_18,40,240,st dev,0.9902535008990706,
120,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_20,40,240,max,161.393447875977,pass
121,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_20,40,240,mean,160.85669856284986,
122,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_20,40,240,min,160.530776977539,
123,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_20,40,240,st dev,0.17608877470131815,
124,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_5,40,240,max,179.177917480469,pass
125,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_5,40,240,mean,178.69059404211853,
126,Run 5 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS 405Kw_47C_4_22_25_edaq_export.csv,AT_TC_5,40,240,min,178.290481567383,
